Nome,MAC,IP
ROB01,00:1E:C9:1F:AD:A8,192.168.23.11
ROB02,00:1E:C9:1F:AD:BB,192.168.23.12
ROB03,00:1E:C9:1F:AD:7A,192.168.23.13
ROB04,00:1E:C9:1F:AD:B5,192.168.23.14
ROB05,00:1E:C9:1F:AD:B1,192.168.23.15
